Web Agent,Agent Browser,Website,tls_cipher_pcap,tls_ciphers_pcap,SSL_curves_pcap,SSL_curve_pcap,SSL_alpn_protocol_pcap,ssl_protocol_pcap,SSL_session_reused_pcap
Selenium,Google Chrome 144.0.7559.96,https://example.org/,TLS_AES_256_GCM_SHA384,TLS_AES_128_GCM_SHA256:TLS_AES_256_GCM_SHA384:TLS_CHACHA20_POLY1305_SHA256,0x11ec:X25519:prime256v1:secp384r1,X25519,h3,TLSv1.3,.
Selenium,Google Chrome 144.0.7559.96,https://example.org/,TLS_AES_256_GCM_SHA384,TLS_AES_128_GCM_SHA256:TLS_AES_256_GCM_SHA384:TLS_CHACHA20_POLY1305_SHA256,0x11ec:X25519:prime256v1:secp384r1,X25519,h3,TLSv1.3,.
Selenium,Google Chrome 144.0.7559.96,https://example.org/,TLS_AES_256_GCM_SHA384,TLS_AES_128_GCM_SHA256:TLS_AES_256_GCM_SHA384:TLS_CHACHA20_POLY1305_SHA256,0x11ec:X25519:prime256v1:secp384r1,X25519,h3,TLSv1.3,.
Selenium,Google Chrome 144.0.7559.96,https://example.org/,TLS_AES_256_GCM_SHA384,TLS_AES_128_GCM_SHA256:TLS_AES_256_GCM_SHA384:TLS_CHACHA20_POLY1305_SHA256,0x11ec:X25519:prime256v1:secp384r1,X25519,h3,TLSv1.3,.
Selenium,Google Chrome 144.0.7559.96,https://example.org/,TLS_AES_256_GCM_SHA384,TLS_AES_128_GCM_SHA256:TLS_AES_256_GCM_SHA384:TLS_CHACHA20_POLY1305_SHA256,0x11ec:X25519:prime256v1:secp384r1,X25519,h3,TLSv1.3,.
Selenium,Google Chrome 144.0.7559.96,https://site1.example.org/,TLS_AES_256_GCM_SHA384,0x2a2a:TLS_AES_128_GCM_SHA256:TLS_AES_256_GCM_SHA384:TLS_CHACHA20_POLY1305_SHA256:ECDHE-ECDSA-AES128-GCM-SHA256:ECDHE-RSA-AES128-GCM-SHA256:ECDHE-ECDSA-AES256-GCM-SHA384:ECDHE-RSA-AES256-GCM-SHA384:ECDHE-ECDSA-CHACHA20-POLY1305:ECDHE-RSA-CHACHA20-POLY1305:ECDHE-RSA-AES128-SHA:ECDHE-RSA-AES256-SHA:AES128-GCM-SHA256:AES256-GCM-SHA384:AES128-SHA:AES256-SHA,0xfafa:0x11ec:X25519:prime256v1:secp384r1,X25519,http/1.1,TLSv1.3,.
Selenium,Google Chrome 144.0.7559.96,https://site1.example.org/,TLS_AES_256_GCM_SHA384,0x1a1a:TLS_AES_128_GCM_SHA256:TLS_AES_256_GCM_SHA384:TLS_CHACHA20_POLY1305_SHA256:ECDHE-ECDSA-AES128-GCM-SHA256:ECDHE-RSA-AES128-GCM-SHA256:ECDHE-ECDSA-AES256-GCM-SHA384:ECDHE-RSA-AES256-GCM-SHA384:ECDHE-ECDSA-CHACHA20-POLY1305:ECDHE-RSA-CHACHA20-POLY1305:ECDHE-RSA-AES128-SHA:ECDHE-RSA-AES256-SHA:AES128-GCM-SHA256:AES256-GCM-SHA384:AES128-SHA:AES256-SHA,0xdada:0x11ec:X25519:prime256v1:secp384r1,X25519,http/1.1,TLSv1.3,.
Selenium,Google Chrome 144.0.7559.96,https://site1.example.org/,TLS_AES_256_GCM_SHA384,0x4a4a:TLS_AES_128_GCM_SHA256:TLS_AES_256_GCM_SHA384:TLS_CHACHA20_POLY1305_SHA256:ECDHE-ECDSA-AES128-GCM-SHA256:ECDHE-RSA-AES128-GCM-SHA256:ECDHE-ECDSA-AES256-GCM-SHA384:ECDHE-RSA-AES256-GCM-SHA384:ECDHE-ECDSA-CHACHA20-POLY1305:ECDHE-RSA-CHACHA20-POLY1305:ECDHE-RSA-AES128-SHA:ECDHE-RSA-AES256-SHA:AES128-GCM-SHA256:AES256-GCM-SHA384:AES128-SHA:AES256-SHA,0xaaaa:0x11ec:X25519:prime256v1:secp384r1,X25519,http/1.1,TLSv1.3,.
Selenium,Google Chrome 144.0.7559.96,https://site1.example.org/,TLS_AES_256_GCM_SHA384,0xeaea:TLS_AES_128_GCM_SHA256:TLS_AES_256_GCM_SHA384:TLS_CHACHA20_POLY1305_SHA256:ECDHE-ECDSA-AES128-GCM-SHA256:ECDHE-RSA-AES128-GCM-SHA256:ECDHE-ECDSA-AES256-GCM-SHA384:ECDHE-RSA-AES256-GCM-SHA384:ECDHE-ECDSA-CHACHA20-POLY1305:ECDHE-RSA-CHACHA20-POLY1305:ECDHE-RSA-AES128-SHA:ECDHE-RSA-AES256-SHA:AES128-GCM-SHA256:AES256-GCM-SHA384:AES128-SHA:AES256-SHA,0x4a4a:0x11ec:X25519:prime256v1:secp384r1,X25519,http/1.1,TLSv1.3,.
Selenium,Google Chrome 144.0.7559.96,https://site1.example.org/,TLS_AES_256_GCM_SHA384,0x7a7a:TLS_AES_128_GCM_SHA256:TLS_AES_256_GCM_SHA384:TLS_CHACHA20_POLY1305_SHA256:ECDHE-ECDSA-AES128-GCM-SHA256:ECDHE-RSA-AES128-GCM-SHA256:ECDHE-ECDSA-AES256-GCM-SHA384:ECDHE-RSA-AES256-GCM-SHA384:ECDHE-ECDSA-CHACHA20-POLY1305:ECDHE-RSA-CHACHA20-POLY1305:ECDHE-RSA-AES128-SHA:ECDHE-RSA-AES256-SHA:AES128-GCM-SHA256:AES256-GCM-SHA384:AES128-SHA:AES256-SHA,0x0a0a:0x11ec:X25519:prime256v1:secp384r1,X25519,http/1.1,TLSv1.3,.
Selenium,Google Chrome 144.0.7559.96,https://site2.example.org/,TLS_AES_256_GCM_SHA384,0xbaba:TLS_AES_128_GCM_SHA256:TLS_AES_256_GCM_SHA384:TLS_CHACHA20_POLY1305_SHA256:ECDHE-ECDSA-AES128-GCM-SHA256:ECDHE-RSA-AES128-GCM-SHA256:ECDHE-ECDSA-AES256-GCM-SHA384:ECDHE-RSA-AES256-GCM-SHA384:ECDHE-ECDSA-CHACHA20-POLY1305:ECDHE-RSA-CHACHA20-POLY1305:ECDHE-RSA-AES128-SHA:ECDHE-RSA-AES256-SHA:AES128-GCM-SHA256:AES256-GCM-SHA384:AES128-SHA:AES256-SHA,0xeaea:0x11ec:X25519:prime256v1:secp384r1,X25519,http/1.1,TLSv1.3,.
